comment_id,video_id,author_name,comment_text,like_count,published_at,sentiment_label,sentiment_score,raw_language,is_valid
Ugzdd-oETzBQUS9ihgZ4AaABAg,B9LizOAAoLg,@MrBeast,Comment what you’d wish for 👇,414,2026-05-07T15:55:46Z,POSITIVE,0.8173322677612305,,1
UgzYgoflgLBT-NnxJ7d4AaABAg,B9LizOAAoLg,@jamesmanjones,My wife's debt paid off. I would say my debt but hers is more 😅,0,2026-05-07T16:03:20Z,NEGATIVE,0.9766204357147217,,1
Ugyh7FqtCuyFNYwMeRx4AaABAg,B9LizOAAoLg,@e_4_edits,Can I get a PC 😅,1,2026-05-07T16:03:21Z,NEGATIVE,0.9933030605316162,,1
Ugy4ZGL76SE8kXAyV714AaABAg,B9LizOAAoLg,@Rubina-w5m1m,I want gear to start youtube I want to also go to vacation iam 13 and I also want money 10000 dollars and car and house,1,2026-05-07T16:03:20Z,NEGATIVE,0.9793615937232971,,1
UgzbDtlMniUlkPwiYg54AaABAg,B9LizOAAoLg,@rajasree2354,My dream is to make a dream house for my family😢,0,2026-05-07T16:03:20Z,POSITIVE,0.9977801442146301,,1
UgxFuYi9_qRnhvkcY9R4AaABAg,B9LizOAAoLg,@Krishanlloveyou-y3w,My dram ticket ha ❤❤,0,2026-05-07T16:03:20Z,NEGATIVE,0.9961532950401306,,1
Ugw5FMjkaqTnP4k0HQZ4AaABAg,B9LizOAAoLg,@Adnan_sami-a3q,Gift me a camera because I want to be a YouTuber like you.,0,2026-05-07T16:03:20Z,POSITIVE,0.9921430349349976,,1
Ugx5-Iu-Ks_gK5iWsP14AaABAg,B9LizOAAoLg,@Vickyvlog12-s1o,Mackbook,0,2026-05-07T16:03:20Z,NEGATIVE,0.5518098473548889,,1
Ugy1ieFY8DBsl1cBpsl4AaABAg,B9LizOAAoLg,@sadece_birisi24,"I'm already a subscriber and all I want are feastables, they're too expensive in our country. Btw, happy birthday Jimmy 🥳💖",0,2026-05-07T16:03:20Z,NEGATIVE,0.9986144304275513,,1
UgwYXyAYq6GRfyD-XCB4AaABAg,B9LizOAAoLg,@BlazeJohnsonJr,"I want to be able have 15,000 to give my family there dream Vacation my wife works really hard to raise. Our daughter while I work. This would mean a lot to them @MrBeast",0,2026-05-07T16:03:20Z,NEGATIVE,0.9664834141731262,,1
UgzkN-IMo3aNv2gsS6d4AaABAg,B9LizOAAoLg,@Φώτης.Γ,Happy birthday mr beast🎉,0,2026-05-07T16:03:20Z,POSITIVE,0.9998327493667603,,1
UgxQh5FARMuR3YqF1Ad4AaABAg,B9LizOAAoLg,@SerabAb,Today my son brithday to. 07.05.2018❤ please help me buy small house 50k,1,2026-05-07T16:03:20Z,POSITIVE,0.9757906794548035,,1
UgzKkDF7ZCK0MmK5Ofp4AaABAg,B9LizOAAoLg,@LifeEJhamela,Happy birthday jimmy🎉🎉please 1 iPhone for vlogging 😢,0,2026-05-07T16:03:20Z,POSITIVE,0.9943251013755798,,1
Ugx62d-YiIjesCE4Q2R4AaABAg,B9LizOAAoLg,@DannysDesigns,My biggest wish is to own a 911 GT3! 😁🙏❤️,0,2026-05-07T16:03:20Z,NEGATIVE,0.995701253414154,,1
UgzUZ-e-jX09qgFF-uB4AaABAg,B9LizOAAoLg,@Abdulmabud07,Happy download day jimmie 🎉,1,2026-05-07T16:03:20Z,POSITIVE,0.9987209439277649,,1
UgyARjgn8QAyjHKSvpt4AaABAg,B9LizOAAoLg,@PriyankaKumari-k3g,I need an ps5 please😢,1,2026-05-07T16:03:20Z,NEGATIVE,0.9976974129676819,,1
Ugzm1GGsctk1iIlgkLJ4AaABAg,B9LizOAAoLg,@Dex10YT,My biggest wise is to  become youtube 😢😢,0,2026-05-07T16:03:19Z,POSITIVE,0.6471154689788818,,1
UgznAYYnJvpkc9IamKt4AaABAg,B9LizOAAoLg,@MATHEMATICS00-c5l,iphone 17 dilo do(I need iphone),1,2026-05-07T16:03:19Z,NEGATIVE,0.9433993697166443,,1
Ugw5PCgNQTYeAUie61V4AaABAg,B9LizOAAoLg,@sergionicolas462,"My biggest wish is to pay off my car, and sister school tuition",0,2026-05-07T16:03:19Z,NEGATIVE,0.9977808594703674,,1
UgzYgoHA64yr6dtvoW54AaABAg,B9LizOAAoLg,@Abdoule-n1r,Je veux une ps5,1,2026-05-07T16:03:19Z,POSITIVE,0.9649726748466492,,1
Ugzh1GkZhzUt7SOv7yV4AaABAg,B9LizOAAoLg,@ravanofficialboy8619,🇮🇳😎 Happy birthday 🎉🎂😊,0,2026-05-07T16:03:20Z,POSITIVE,0.9997525811195374,,1
UgxPmGAWY1Z8jgmsnjR4AaABAg,B9LizOAAoLg,@LAJai-x3l,I wish I had a new car and all my court fee paid for in full,0,2026-05-07T16:03:19Z,NEGATIVE,0.9994587302207947,,1
UgxjB0JV1hI6uB6KjLt4AaABAg,B9LizOAAoLg,@josuerosalesreyes2784,build my house,0,2026-05-07T16:03:19Z,POSITIVE,0.9987130165100098,,1
Ugzdxfk-CeKOOMRhJqd4AaABAg,B9LizOAAoLg,@YouTubebangladesh-e1n,Happy birthday I just want a gaming setup plss can u give me I subscribed you❤,0,2026-05-07T16:03:19Z,NEGATIVE,0.5407275557518005,,1
UgxlNr9YbVK1STbgS8B4AaABAg,B9LizOAAoLg,@MRWANTEDHACKER,I want to become a YouTuber pliz help 😢,0,2026-05-07T16:03:19Z,NEGATIVE,0.9898674488067627,,1
Ugz_-O8Y0T_14Mh-Qst4AaABAg,B9LizOAAoLg,@DGN-y2m,"Youtube ke liye ek phone , laptop aur mic plese Mr Beast",0,2026-05-07T16:03:19Z,NEGATIVE,0.9757322072982788,,1
UgxhoDMAR92lUnjvq_94AaABAg,B9LizOAAoLg,@Keshavbhardwaj-l3u,Pay my college tuition is my wish,0,2026-05-07T16:03:19Z,NEGATIVE,0.8093215227127075,,1
UgyBgt9Twli5KhmUyJx4AaABAg,B9LizOAAoLg,@tayonroytonmoy,Things I need to start YouTube.,0,2026-05-07T16:03:19Z,NEGATIVE,0.9979653358459473,,1
Ugww3D6Pq0lBNDWobHl4AaABAg,B9LizOAAoLg,@Haseebshahid007,"Happy birthday jimmy … I’m a young doctor Give me $20,000 , half I’ll invest in my medical studies tuition and all that , half I’ll use to treat patients who can’t afford care.",0,2026-05-07T16:03:19Z,POSITIVE,0.980720579624176,,1
Ugw3iQXIu1px-vtDRMR4AaABAg,B9LizOAAoLg,@priyamkhaitan5532,Happiest birthday Jimmy❤🎉,1,2026-05-07T16:03:19Z,POSITIVE,0.955599308013916,,1
Ugw6l_KibUC6mUMEaph4AaABAg,B9LizOAAoLg,@adolforomero9336,Mi mayor deseo es tener mi propia panadería y poder administrarla ya que tengo un titulo de ingeniería en administración y aún no he podido encontrar trabajo en lo que estudie Pero ese sería mi sueño ya que toda mi vida he trabajado como panadero,0,2026-05-07T16:03:19Z,NEGATIVE,0.9572355151176453,,1
UgztRS42epuABRi9_Ed4AaABAg,B9LizOAAoLg,@FOG-777,i want to meet cristiano ronaldo,1,2026-05-07T16:03:18Z,POSITIVE,0.9996758699417114,,1
Ugy4afj17rKq2nCfc-t4AaABAg,B9LizOAAoLg,@CamiloGarate,Hey Jimmy! Happy B-Day from Chile Traveling to Disney with my family plz!,0,2026-05-07T16:03:19Z,POSITIVE,0.9996153116226196,,1
UgwxXUMdHwIF3gMxMwN4AaABAg,B9LizOAAoLg,@SahilAlam-official_g,Happy Birthday mr Best im form India my wish is I phone,0,2026-05-07T16:03:18Z,NEGATIVE,0.84390789270401,,1
UgxO-Z1qCgc4owKKmb14AaABAg,B9LizOAAoLg,@maximilianomejiarosas11,Al mundial,0,2026-05-07T16:03:18Z,NEGATIVE,0.940309464931488,,1
Ugx92rs7urMPQkBlKml4AaABAg,B9LizOAAoLg,@yurimiaa-hatice,Happy birthday mr beast i am big fan İ want the a home,0,2026-05-07T16:03:18Z,POSITIVE,0.9998297691345215,,1
UgyqbxWlSEZYhX5e3c94AaABAg,B9LizOAAoLg,@مغلق-9-ع,17  PRO MAX,0,2026-05-07T16:03:19Z,POSITIVE,0.9960682392120361,,1
Ugx_kaZMgyQzy1kcg6Z4AaABAg,B9LizOAAoLg,@GoswamiFact01,I need YouTube all material,0,2026-05-07T16:03:18Z,NEGATIVE,0.9930317401885986,,1
UgzsGt4zNLY2b9HeV_F4AaABAg,B9LizOAAoLg,@itsKobaworld,One house please,1,2026-05-07T16:03:19Z,POSITIVE,0.9996801614761353,,1
